GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library,library.data,CDData,11,48,2,2,4,11,4,4,2,4
library,library.data,UserData,3,128,0,4,1,22,1,7,1,5
library,library.data,AdminData,44,0,4,0,10,0,5,0,3,0
library,library.data,BookData,23,160,2,4,6,28,4,10,3,8
library,library.data,FineData,106,0,12,0,23,0,12,0,6,0
library,library.data,LoanData,6,84,3,11,3,20,4,10,1,6
library,com.mycompany.librarysoftware,Librarysoftware,7,0,0,0,3,0,2,0,2,0
library,services,BorrowCDService,38,29,9,3,9,9,7,2,1,2
library,services,CDService,36,41,10,4,8,14,8,3,1,3
library,services,login_logout_service,29,0,6,0,10,0,6,0,3,0
library,services,MediaReportService,4,175,9,17,0,36,9,7,0,3
library,services,EmailService,0,50,1,7,0,13,1,8,0,5
library,services,FineService,3,44,3,7,1,15,3,6,0,4
library,services,add_book_service,0,22,0,2,0,7,0,3,0,2
library,services,BookSearchService,0,12,0,0,0,4,0,4,0,4
library,services,NotificationService,0,130,2,18,0,32,2,11,0,3
library,services,BorrowService,6,135,9,27,3,37,9,15,0,6
library,services,UserService,0,82,1,21,0,18,1,16,0,6
library,library.entities,Loan,42,51,4,0,12,18,6,9,4,9
library,library.entities,Book,18,36,3,1,4,13,3,7,1,7
library,library.entities,User,9,121,3,5,2,38,4,17,1,16
library,library.entities,CD,12,25,0,0,3,10,3,4,3,4
library,library.entities,Fine,46,0,2,0,16,0,8,0,7,0
library,library.entities,Admin,25,0,0,0,10,0,5,0,5,0
